placement_id,placement_name,line_item_name,revenue,imps,imps_blank,imps_default_error,imps_default_bidder,size
11220083,101932_USINT_BTF_300x250_34258176_2,Resold Line Item,0.059534,646,0,0,598,300x250
6200061,101334_USINT_BTF_300x250_34258176_4M,Resold Line Item,0.003669,37,0,0,0,300x250
5936803,101295_USINT_BTF_300x250_34258176_1W,DD_IZEA_ALL_300x250_34206816_1,0.002500,5,0,0,0,300x250
4592150,100835_USINT_BTF_300x250_34258176_2W,Resold Line Item,0.003861,26,0,0,21,300x250
9744137,101717_USINT_ATF_300x250_34258176_1W,Resold Line Item,0.007091,39,0,0,34,300x250
9011836,100141_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000894,1,0,0,0,728x90
9812082,101743_USINT_BTF_728x90_34258176_1W,Resold Line Item,0.001217,10,0,0,9,728x90
6225527,101344_USINT_BTF_300x250_34258176_3W,Resold Line Item,0.000000,0,0,0,0,300x250
5106844,100863_USINT_ATF_300x250_34258176_1W,Resold Line Item,0.000781,1,0,0,0,300x250
9753421,101724_USINT_BTF_300x250_34258176_4M,Resold Line Item,0.000000,6,0,0,6,300x250
4415758,100022_USINT_BTF_300x250_ 34258176_3M,Resold Line Item,0.000000,7,0,0,7,300x250
4469569,100652_USINT_BTF_300x250_34258176_1M,Resold Line Item,0.009640,53,0,0,48,300x250
9459343,101134_USINT_BTF_728x90_34258176_1M,Resold Line Item,0.000000,6,0,0,6,728x90
9032010,700371_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.003616,1,0,0,0,300x600
6351693,101362_USINT_ATF_300x250_34258176_1W,Resold Line Item,0.004300,40,0,0,33,300x250
6179560,101332_USINT_BTF_300x250_34258176_2W,Resold Line Item,0.003900,41,0,0,0,300x250
4598994,101038_USINT_BTF_300x250_34258176_3W,Resold Line Item,0.045965,117,0,0,0,300x250
9025166,101559_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,300x600
9892737,101771_USINT_TBL_300x250_34258176_1M,Resold Line Item,0.000000,4,0,0,4,300x250
4619001,100926_USINT_BTF_300x250_34258176_1M,Resold Line Item,0.000000,3,0,0,0,300x250
9900800,101776_USINT_MBL_300x250_34258176_1M,Resold Line Item,0.306904,1192,0,0,1022,300x250
4545402,100963_USINT_ATF_300x250_34258176_1M,Resold Line Item,0.000000,1,0,0,1,300x250
7469823,101537_USINT_ATF_728x90_34258176_1W,Resold Line Item,0.001247,29,0,0,0,728x90
9025045,101502_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.017303,5,0,0,0,300x250
5936795,101295_USINT_ATF_300x250_34258176_1M,DD_IZEA_ALL_300x250_34206816_1,0.001500,3,0,0,0,300x250
4492388,100194_USINT_BTF_300X250_34258176_3M,Resold Line Item,0.011330,67,0,0,57,300x250
9907432,101745_USINT_PBJS_sizeless_34258176_2,Resold Line Item,0.098612,42,0,0,0,320x50
7071367,101476_USINT_BTF_300x250_34258176_3W,Resold Line Item,0.000000,13,0,0,12,300x250
7167256,101484_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.000000,1,0,0,1,300x250
4179969,100620_USINT_BTF_300x250_34258176_3M,Resold Line Item,0.008758,30,0,0,18,300x250
9016087,100709_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.002589,1,0,0,0,728x90
9790811,101103_USINT_INLINE_sizeless_34258176_1,Resold Line Item,0.065148,19,0,0,0,1x1
4623753,100204_USINT_TBL_300x250_34258176_1,Resold Line Item,0.000000,44,0,0,44,300x250
9016723,100819_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.102266,22,0,0,0,300x250
5561375,101227_USINT_BTF_300x250_34258176_1M,Resold Line Item,0.017137,130,0,0,110,300x250
9022913,101227_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x100
11091751,100082_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,300x600
8534035,101576_USINT_ATF_728x90_34258176_1M,Resold Line Item,0.000000,1,0,0,0,728x90
4461442,100528_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.000000,3,0,0,3,300x250
10554538,101876_USINT_BTF_728x90_34258176_1,Resold Line Item,0.000000,67,0,0,67,728x90
4435063,100247_USINT_BTF_300X250_34258176_1W,DD_IZEA_ALL_300x250_34206816_1,0.001000,2,0,0,0,300x250
9022953,101292_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,728x90
6202743,101338_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.006970,94,0,0,0,300x250
4427026,100081_USINT_BTF_300x250_34258176_2M,Resold Line Item,0.000000,2,0,0,2,300x250
9325952,RIV70001_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.002218,3,0,0,0,728x90
9842829,101739_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x50
9011971,100303_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.001614,1,0,0,0,728x90
10371994,101861_USINT_BTF_728x90_34258176_2W,Resold Line Item,0.000869,72,0,0,71,728x90
10266800,101844_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.235505,16,0,0,0,160x600
10419735,101860_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,300x250
11070224,101920_USINT_BTF_160x600_34258176_1,Resold Line Item,0.000000,1,0,0,1,160x600
10008279,101806_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x50
9025203,101580_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.041900,22,0,0,0,320x50
11056823,101917_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x50
8421745,101567_USINT_BTF_300x250_34258176_1M,Resold Line Item,0.007039,91,0,0,83,300x250
9357753,100920_USINT_MBL_300x250_34258176_1M,Resold Line Item,0.222591,3095,0,0,2966,300x250
4523691,100874_USINT_TBL_300x250_34258176_1M,DD_IZEA_ALL_300x250_34206816_1,0.000500,1,0,0,0,300x250
9029607,700118_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.013316,13,0,0,0,300x250
9870469,101759_USINT_BTF_300x250_34258176_2W,Resold Line Item,0.007532,31,0,0,28,300x250
9023778,100994_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.017713,5,0,0,0,300x250
9870468,101759_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.003842,25,0,0,23,300x250
4456780,100485_USINT_BTF_728x90_34258176_1M,Resold Line Item,0.000000,4,0,0,4,728x90
9001844,100005_USINT_PBJS_sizeless_34258176_1,Resold Line Item,1.785272,757,0,0,0,300x250
4450095,100366_USINT_BTF_300x250_34258176_2W,Resold Line Item,0.023202,133,0,0,116,300x250
5346624,100474_USINT_ATF_728x90_34258176_1W,Resold Line Item,0.000000,6,0,0,6,728x90
7191355,101502_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.000808,9,0,0,0,300x250
9030242,700346_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.048237,16,0,0,0,300x250
9001844,100005_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.760838,350,0,0,0,320x50
9268070,101630_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,728x90
5106599,100838_USINT_BTF_300x250_34258176_1M,Resold Line Item,0.002521,18,0,0,0,300x250
11402529,101954_USINT_ATF_728x90_34258176_1,Resold Line Item,0.045910,359,0,0,331,728x90
6922962,100615 Demand Fusion,Resold Line Item,0.002785,1,0,0,0,300x250
9821629,100053_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.020901,26,0,0,0,320x50
11072596,101922_USINT_TBL_300x250_34258176_1M,Resold Line Item,0.015508,110,0,0,101,300x250
10180052,101829_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000038,1,0,0,0,320x50
11070228,101920_USINT_ATF_300x250_34258176_1,Resold Line Item,0.001487,7,0,0,6,300x250
7493604,700414 Demand Fusion $1.10,Resold Line Item,0.003259,2,0,0,0,728x90
10999764,101914_USINT_ATF_300x250_34258176_2,Resold Line Item,0.014667,91,0,0,79,300x250
4469043,100614_USINT_ATF_300x250_34258176_2M,Resold Line Item,0.000000,1,0,0,0,300x250
4992142,101128_USINT_ATF_728x90_34258176_1W,Resold Line Item,0.001901,6,0,0,3,728x90
9964282,101797_USINT_BTF_160x600_34258176_1M,Resold Line Item,0.000000,2,0,0,2,160x600
9360215,101643_USINT_BTF_300x250_34258176_2M,Resold Line Item,0.013966,193,0,0,0,300x250
4537602,100819_USINT_ATF_300x250_34258176_1W,Resold Line Item,0.005326,116,0,0,0,300x250
11452765,101961_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.830850,257,0,0,0,160x600
4478593,100735_USINT_BTF_300x250_34258176_3W,Resold Line Item,0.005928,32,0,0,25,300x250
9023748,100987_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x50
9024536,101114_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.002990,2,0,0,0,728x90
9031152,700198_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.007421,6,0,0,0,300x250
9812057,101745_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.307418,913,0,0,794,300x250
9522230,101681_USINT_BTF_300x250_34258176_3W,Resold Line Item,0.001462,4,0,0,3,300x250
9025294,700015_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,728x90
10202776,101827_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.005022,5,0,0,0,320x100
4492920,100833_USINT_BTF_300x250_34258176_1W,DD_IZEA_ALL_300x250_34206816_1,0.002000,4,0,0,0,300x250
9875425,101763_USINT_BTF_728x90_34258176_1M,Resold Line Item,0.002520,6,0,0,5,728x90
9012962,100298_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.002910,2,0,0,0,320x50
9012962,100298_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.054004,35,0,0,0,300x250
9735145,101712_USINT_ATF_728x90_34258176_1M,Resold Line Item,0.000000,3,0,0,3,728x90
9024921,101356_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.069397,16,0,0,0,300x600
9260915,101549_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,300x250
7198199,101507_USINT_MBL_300x250_34258176_1M,Resold Line Item,0.141005,1283,0,0,0,300x250
10473742,101864_USINT_BTF_300x250_34258176_1,Resold Line Item,0.039370,238,0,0,201,300x250
6385948,101372_USINT_BTF_300x250_34258176_3W,Resold Line Item,0.001550,52,0,0,51,300x250
9011992,100309_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.036695,20,0,0,0,728x90
9304365,101637_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.000000,1,0,0,0,300x250
10033307,101745_USINT_BTF_300x600_34258176_1M,Resold Line Item,0.000000,2,0,0,2,300x600
9026200,700016_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x100
9960096,101562_USINT_ATF_728x90_34258176_1M,Resold Line Item,0.000000,2,0,0,2,728x90
5353610,101191_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.002890,9,0,0,0,300x250
6210759,700051_USINT_TBL_300x250_34258176_1M,Resold Line Item,0.000000,7,0,0,7,300x250
4467662,100602_USINT_ATF_300x250_34258176_1M,Resold Line Item,0.000000,1,0,0,1,300x250
9729195,101702_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.000000,11,0,0,11,300x250
9010708,100559_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x100
9025163,101542_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.267703,271,0,0,0,320x50
9821629,100053_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,160x600
4433010,100194_USINT_BTF_300X250_34258176_2W,Resold Line Item,0.017058,25,0,0,14,300x250
9012013,100317_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.005924,19,0,0,0,320x50
5359068,100150_USINT_ATF_728x90_34258176_2M,Resold Line Item,0.000000,20,0,0,20,728x90
5359083,100835_USINT_BTF_728x90_34258176_3W,Resold Line Item,0.002469,52,0,0,47,728x90
9024847,101437_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.021734,5,0,0,0,160x600
9030196,700339_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.004394,4,0,0,0,320x50
10108971,101745_USINT_BTF_300x250_34258176_5M,Resold Line Item,0.268420,2083,0,0,1898,300x250
11319819,101946_USINT_BTF_300x250_34258176_2,Resold Line Item,0.084902,931,0,0,850,300x250
4422711,100074_USINT_ATF_728x90_34258176_1M,Resold Line Item,0.000000,1,0,0,1,728x90
9031098,700169_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,728x90
10194155,101831_USINT_PBJS_sizeless_34258176_1,Resold Line Item,1.643732,1252,0,0,0,300x250
9029665,700130_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,728x90
5359082,100835_USINT_BTF_728x90_34258176_3M,Resold Line Item,0.000496,9,0,0,8,728x90
9026679,700104_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,728x90
8847073,101610_USINT_ATF_728x90_34258176_1M,Resold Line Item,0.000000,9,0,0,9,728x90
4569667,100943_USINT_BTF_300x250_34258176_2W,Resold Line Item,0.003492,16,0,0,0,300x250
9032135,700388_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,300x250
10941093,300x250_B4,Resold Line Item,0.718510,360,0,0,0,300x250
4456922,100498_USINT_ATF_728x90_34258176_1M,Resold Line Item,0.003021,28,0,0,24,728x90
4492922,100833_USINT_BTF_300x250_34258176_3W,Resold Line Item,0.001774,34,0,0,31,300x250
9841158,101747_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x50
9734704,101710_USINT_MBL_300x250_34258176_1M,Resold Line Item,0.148066,498,0,0,416,300x250
4536205,100876_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.000000,5,0,0,5,300x250
9025049,101507_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.054587,19,0,0,0,300x250
9016682,100813_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,300x250
10663477,101876_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.018368,7,0,0,0,300x250
10032562,101802_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.017260,15,0,0,0,300x600
4468207,100611_USINT_BTF_300x250_34258176_2W,Resold Line Item,0.001518,18,0,0,17,300x250
4434033,100216_USINT_ATF_300x250_34258176_1M,Resold Line Item,0.000000,1,0,0,1,300x250
4467290,100599_USINT_BTF_300x250_34258176_1M,Resold Line Item,0.000000,10,0,0,10,300x250
5674359,101261_USINT_TBL_300x250_34258176_1M,Resold Line Item,0.000000,4,0,0,0,300x250
9750559,101715_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.037660,24,0,0,0,728x90
11108098,101924_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.001466,2,0,0,0,320x50
10032562,101802_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.116473,105,0,0,0,300x250
5359074,100150_USINT_BTF_300x250_34258176_3M,Resold Line Item,0.004163,137,0,0,0,300x250
10032338,700612_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x50
4910635,101110_USINT_BTF_300x250_34258176_4W,Resold Line Item,0.002546,6,0,0,4,300x250
9929259,100022_USINT_PBJS_sizeless_34258176_1,DD_IZEA_ALL_300x250_34206816_1,0.000500,1,0,0,0,300x250
6700889,101425_USINT_ATF_728x90_34258176_1M,Resold Line Item,0.000000,8,0,0,8,728x90
4474088,100752_USINT_ATF_300x250_34258176_1W,Resold Line Item,0.000000,0,0,0,0,300x250
9831629,101702_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x100
9525267,101098_USINT_BTF_728x90_34258176_1M,Resold Line Item,0.000000,9,0,0,0,728x90
4449957,100355_USINT_BTF_728x90_34258176_1M,Resold Line Item,0.005019,41,0,1,32,728x90
4524472,100884_USINT_BTF_300x250_34258176_1M,Resold Line Item,0.000000,2,0,0,0,300x250
9026238,700035_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,728x90
10936351,100755_USINT_ATF_728x90_34258176_1,Resold Line Item,0.007923,40,0,0,37,728x90
6214782,101342_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.042696,108,0,0,0,300x250
5987346,101307_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.006973,116,0,0,111,300x250
9030465,700306_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x100
4429508,100154_USINT_BTF_300X250_34258176_1M,Resold Line Item,0.004856,14,0,0,10,300x250
9377644,101650_USINT_ATF_300x250_34258176_2M,Resold Line Item,0.020248,139,0,0,126,300x250
9025063,101602_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.002475,1,0,0,0,320x50
9016886,100877_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.050477,46,0,0,0,300x250
4454628,100420_USINT_BTF_300x250_34258176_4M,DD_IZEA_ALL_300x250_34206816_1,0.000500,1,0,0,0,300x250
5596810,101240_USINT_BTF_300x250_34258176_3W,Resold Line Item,0.005913,54,0,0,0,300x250
9024282,101085_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,300x600
9117405,101626_USINT_TBL_300x250_34258176_1M,Resold Line Item,0.000000,10,0,0,10,300x250
9024555,101149_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.033167,8,0,0,0,300x600
10093535,101817_USINT_BTF_300x250_34258176_2M,Resold Line Item,0.171506,516,0,0,429,300x250
9022388,100943_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.002486,6,0,0,0,320x50
9740478,101701_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.166719,42,0,0,0,300x250
9740478,101701_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.055905,32,0,0,0,320x50
9023729,100975_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.007039,2,0,0,0,728x90
9810939,101730_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,300x600
9024130,101025_USINT_PBJS_sizeless_34258176_1,Resold Line Item,10.000311,8888,0,0,0,300x250
5107042,101149_USINT_ATF_300x250_34258176_1M,Resold Line Item,0.006100,5,0,0,2,300x250
10433220,101473_USINT_INLINE_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,1x1
9024282,101085_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.015319,5,0,0,0,728x90
4469085,100615_USINT_BTF_728x90_34258176_1M,Resold Line Item,0.000000,3,0,0,3,728x90
9851928,101737_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,160x600
9025193,101575_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,160x600
4463575,100588_USINT_BTF_300x250_34258176_4M,Resold Line Item,0.000000,11,0,0,11,300x250
4474731,100723_USINT_BTF_300x250_34258176_1M,Resold Line Item,0.000000,2,0,0,2,300x250
9015999,100620_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.069923,40,0,0,0,300x250
10469276,101862_USINT_BTF_300x250_34258176_2W,Resold Line Item,0.000000,51,0,0,0,300x250
6391022,100830_USINT_BTF_300x250_34258176_4M,Resold Line Item,0.006087,29,0,0,26,300x250
4457102,100497_USINT_BTF_300x250_34258176_1M,Resold Line Item,0.021917,230,0,0,208,300x250
4456883,100500_USINT_ATF_300x250_34258176_1M,Resold Line Item,0.000000,4,0,0,4,300x250
9870464,101759_USINT_MBL_300x250_34258176_1M,Resold Line Item,0.153845,744,0,0,677,300x250
7064502,101465_USINT_BTF_300x250_34258176_3M,Resold Line Item,0.027001,164,0,0,147,300x250
11319817,101945_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x50
9025587,700318_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,160x600
11106889,101925_USINT_BTF_300x250_34258176_1,Resold Line Item,0.010125,212,0,0,203,300x250
7064525,101465_USINT_BTF_300x250_34258176_2W,Resold Line Item,0.013232,16,0,0,10,300x250
9912316,101776_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.118889,22,0,0,0,160x600
4546010,100944_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.003296,11,0,0,8,300x250
4473867,100744_USINT_BTF_728x90_34258176_1M,Resold Line Item,0.000000,9,0,0,9,728x90
9029663,700129_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.027135,14,0,0,0,300x250
4801368,100812_USINT_BTF_728x90_34258176_1W,Resold Line Item,0.000894,6,0,0,5,728x90
5502974,101210_USINT_ATF_728x90_34258176_1M,Resold Line Item,0.000000,3,0,0,0,728x90
9510016,100121_USINT_BTF_728x90_34258176_1M,Resold Line Item,0.015105,19,0,0,17,728x90
9024283,101086_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,160x600
9030253,700347_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.008542,13,0,0,0,320x50
9024827,101484_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.004584,2,0,0,0,728x90
4469918,100670_USINT_BTF_300x250_34258176_3W,Resold Line Item,0.000383,2,0,0,1,300x250
5596824,101241_USINT_ATF_728x90_34258176_1W,Resold Line Item,0.002370,16,0,0,0,728x90
9812052,101745_USINT_ATF_728x90_34258176_1M,Resold Line Item,0.023678,505,0,0,489,728x90
10118118,101820_USINT_BTF_300x250_34258176_2M,Resold Line Item,0.000000,36,0,0,36,300x250
4595910,100873_USINT_ATF_300x250_34258176_1W,Resold Line Item,0.011989,73,0,0,65,300x250
9025054,101519_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,728x90
9016763,100888_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,728x90
9016050,100664_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.016210,10,0,0,0,300x250
4492594,100830_USINT_MBL_300x250_34258176_1M,Resold Line Item,0.014662,76,0,0,62,728x90
10429494,101861_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.027213,7,0,0,0,728x90
6165760,101328_USINT_ATF_728x90_34258176_1M,Resold Line Item,0.000000,1,0,0,1,728x90
9722219,100208_USINT_BTF_300x250_34258176_2M,Resold Line Item,0.020501,74,0,0,0,300x250
6213301,700109_USINT_BTF_300x250_34258176_2W,Resold Line Item,0.000000,25,0,0,25,300x250
4439381,100235_USINT_BTF_728x90_34258176_1W,Resold Line Item,0.003544,17,0,0,12,728x90
9729532,101701_USINT_MBL_300x250_34258176_1M,Resold Line Item,0.014956,121,0,0,113,300x250
6386428,101374_USINT_ATF_300x250_34258176_1W,Resold Line Item,0.012993,189,0,0,180,300x250
7202551,101513_USINT_ATF_728x90_34258176_1M,Resold Line Item,0.000000,1,0,0,0,300x250
9016459,100744_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.006314,2,0,0,0,728x90
4537604,100819_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.009107,132,0,0,121,300x250
10941824,101880_USINT_BTF_300x250_34258176_2,Resold Line Item,0.066610,735,0,0,704,300x250
10266800,101844_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.230781,169,0,0,0,320x50
4463573,100588_USINT_BTF_300x250_34258176_2M,Resold Line Item,0.001053,9,0,0,6,300x250
11217949,101933_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.019786,10,0,0,0,300x600
4565290,101011_USINT_BTF_728x90_34258176_1W,Resold Line Item,0.000000,4,0,0,4,728x90
9974641,101801_USINT_MBL_300x250_34258176_1M,Resold Line Item,0.006461,348,0,0,343,300x250
9031372,700223_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000106,1,0,0,0,728x90
9012062,100349_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.006470,4,0,0,0,160x600
11281816,101937_USINT_INLINE_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,640x480
7167110,101480_USINT_MBL_300x250_34258176_1M,Resold Line Item,0.002165,65,0,0,63,300x250
6179559,101332_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.002578,27,0,0,24,300x250
9847089,101750_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.009654,3,0,0,0,160x600
4448163,100290_USINT_BTF_300x250_34258176_2M,Resold Line Item,0.006892,82,0,0,72,300x250
9011665,100121_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x100
9918352,700234_USINT_PBJS_sizeless_34258176_2,Resold Line Item,0.021652,12,0,0,0,320x50
9025415,700093_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.032912,7,0,0,0,728x90
9866749,101758_USINT_ATF_300x250_34258176_1M,Resold Line Item,0.000000,1,0,0,1,300x250
6661983,100808 Demand Fusion,Resold Line Item,0.005388,4,0,0,0,300x250
9874176,101760_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.001339,5,0,0,4,300x250
9024894,101468_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000184,9,0,0,0,320x50
11241293,101938_USINT_ATF_728x90_34258176_2,Resold Line Item,0.004798,40,0,0,36,728x90
9025159,101540_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,300x250
11244797,101938_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.006727,6,0,0,0,728x90
9012022,100322_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x100
9011609,100459_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.011660,2,0,0,0,160x600
9851545,101755_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,728x90
9026349,700053_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000349,10,0,0,0,320x50
9022756,101619_USINT_BTF_300x250_34258176_3M,Resold Line Item,0.003952,60,0,0,57,300x250
9905514,101360_USINT_ATF_300x250_34258176_3W,Resold Line Item,0.000000,0,0,0,0,300x250
4421804,100053_USINT_BTF_300x250_34258176_3M,Resold Line Item,0.007735,74,0,0,61,300x250
9024158,101304_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.006092,7,0,0,0,320x50
9011668,100125_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.002658,2,0,0,0,300x250
6213300,700109_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.000000,43,0,0,0,300x250
9025058,101590_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x100
9011971,100303_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,300x250
9506012,100876_USINT_BTF_728x90_34258176_1M,Resold Line Item,0.000000,9,0,0,9,728x90
9846596,101750_USINT_BTF_728x90_34258176_1W,Resold Line Item,0.001064,22,0,0,21,728x90
5081506,100917_USINT_BTF_300x250_34258176_3M,Resold Line Item,0.001685,22,0,0,19,300x250
4901673,101109_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.014733,50,0,0,38,300x250
4473855,100744_USINT_BTF_300x250_34258176_2W,Resold Line Item,0.001895,18,0,0,0,300x250
4448276,100309_USINT_BTF_728x90_34258176_1M,Resold Line Item,0.000737,17,0,0,16,728x90
10246555,700617_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000659,4,0,0,0,300x600
7167261,101484_USINT_BTF_300x250_34258176_2W,Resold Line Item,0.000000,1,0,0,1,300x250
